WOJ,WOJEWÓDZTWO,IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
2,DOLNOŚLĄSKIE,NIKODEM,MĘŻCZYZNA,434
2,DOLNOŚLĄSKIE,LEON,MĘŻCZYZNA,381
2,DOLNOŚLĄSKIE,JAN,MĘŻCZYZNA,381
2,DOLNOŚLĄSKIE,ANTONI,MĘŻCZYZNA,370
2,DOLNOŚLĄSKIE,ALEKSANDER,MĘŻCZYZNA,334
2,DOLNOŚLĄSKIE,JAKUB,MĘŻCZYZNA,333
2,DOLNOŚLĄSKIE,FRANCISZEK,MĘŻCZYZNA,300
2,DOLNOŚLĄSKIE,MIKOŁAJ,MĘŻCZYZNA,283
2,DOLNOŚLĄSKIE,IGNACY,MĘŻCZYZNA,282
2,DOLNOŚLĄSKIE,FILIP,MĘŻCZYZNA,274
2,DOLNOŚLĄSKIE,STANISŁAW,MĘŻCZYZNA,245
2,DOLNOŚLĄSKIE,SZYMON,MĘŻCZYZNA,213
2,DOLNOŚLĄSKIE,WOJCIECH,MĘŻCZYZNA,201
2,DOLNOŚLĄSKIE,ADAM,MĘŻCZYZNA,181
2,DOLNOŚLĄSKIE,MARCEL,MĘŻCZYZNA,170
2,DOLNOŚLĄSKIE,MAKSYMILIAN,MĘŻCZYZNA,169
2,DOLNOŚLĄSKIE,OLIWIER,MĘŻCZYZNA,160
2,DOLNOŚLĄSKIE,TYMON,MĘŻCZYZNA,160
2,DOLNOŚLĄSKIE,KACPER,MĘŻCZYZNA,154
2,DOLNOŚLĄSKIE,WIKTOR,MĘŻCZYZNA,149
2,DOLNOŚLĄSKIE,MICHAŁ,MĘŻCZYZNA,143
2,DOLNOŚLĄSKIE,JULIAN,MĘŻCZYZNA,142
2,DOLNOŚLĄSKIE,TYMOTEUSZ,MĘŻCZYZNA,137
2,DOLNOŚLĄSKIE,MIŁOSZ,MĘŻCZYZNA,127
2,DOLNOŚLĄSKIE,PIOTR,MĘŻCZYZNA,124
2,DOLNOŚLĄSKIE,IGOR,MĘŻCZYZNA,111
2,DOLNOŚLĄSKIE,OSKAR,MĘŻCZYZNA,109
2,DOLNOŚLĄSKIE,HUBERT,MĘŻCZYZNA,101
2,DOLNOŚLĄSKIE,DOMINIK,MĘŻCZYZNA,93
2,DOLNOŚLĄSKIE,DAWID,MĘŻCZYZNA,93
2,DOLNOŚLĄSKIE,GABRIEL,MĘŻCZYZNA,92
2,DOLNOŚLĄSKIE,MARK,MĘŻCZYZNA,86
2,DOLNOŚLĄSKIE,BRUNO,MĘŻCZYZNA,83
2,DOLNOŚLĄSKIE,BARTOSZ,MĘŻCZYZNA,78
2,DOLNOŚLĄSKIE,NATAN,MĘŻCZYZNA,76
2,DOLNOŚLĄSKIE,MILAN,MĘŻCZYZNA,73
2,DOLNOŚLĄSKIE,ARTUR,MĘŻCZYZNA,73
2,DOLNOŚLĄSKIE,DANIEL,MĘŻCZYZNA,70
2,DOLNOŚLĄSKIE,KRZYSZTOF,MĘŻCZYZNA,68
2,DOLNOŚLĄSKIE,TADEUSZ,MĘŻCZYZNA,65
2,DOLNOŚLĄSKIE,CEZARY,MĘŻCZYZNA,64
2,DOLNOŚLĄSKIE,TOMASZ,MĘŻCZYZNA,60
2,DOLNOŚLĄSKIE,LEO,MĘŻCZYZNA,58
2,DOLNOŚLĄSKIE,KAROL,MĘŻCZYZNA,58
2,DOLNOŚLĄSKIE,ALAN,MĘŻCZYZNA,58
2,DOLNOŚLĄSKIE,KUBA,MĘŻCZYZNA,56
2,DOLNOŚLĄSKIE,MATEUSZ,MĘŻCZYZNA,55
2,DOLNOŚLĄSKIE,TEODOR,MĘŻCZYZNA,55
2,DOLNOŚLĄSKIE,FABIAN,MĘŻCZYZNA,48
2,DOLNOŚLĄSKIE,WITOLD,MĘŻCZYZNA,47
2,DOLNOŚLĄSKIE,KAJETAN,MĘŻCZYZNA,46
2,DOLNOŚLĄSKIE,MIESZKO,MĘŻCZYZNA,45
2,DOLNOŚLĄSKIE,MACIEJ,MĘŻCZYZNA,43
2,DOLNOŚLĄSKIE,HENRYK,MĘŻCZYZNA,42
2,DOLNOŚLĄSKIE,FELIKS,MĘŻCZYZNA,37
2,DOLNOŚLĄSKIE,KSAWERY,MĘŻCZYZNA,37
2,DOLNOŚLĄSKIE,KAZIMIERZ,MĘŻCZYZNA,37
2,DOLNOŚLĄSKIE,PAWEŁ,MĘŻCZYZNA,36
2,DOLNOŚLĄSKIE,ARTEM,MĘŻCZYZNA,35
2,DOLNOŚLĄSKIE,KORNEL,MĘŻCZYZNA,35
2,DOLNOŚLĄSKIE,STEFAN,MĘŻCZYZNA,34
2,DOLNOŚLĄSKIE,KAMIL,MĘŻCZYZNA,34
2,DOLNOŚLĄSKIE,GUSTAW,MĘŻCZYZNA,33
2,DOLNOŚLĄSKIE,EMIL,MĘŻCZYZNA,32
2,DOLNOŚLĄSKIE,MAKSYM,MĘŻCZYZNA,32
2,DOLNOŚLĄSKIE,JÓZEF,MĘŻCZYZNA,31
2,DOLNOŚLĄSKIE,OLAF,MĘŻCZYZNA,30
2,DOLNOŚLĄSKIE,BORYS,MĘŻCZYZNA,29
2,DOLNOŚLĄSKIE,RYSZARD,MĘŻCZYZNA,28
2,DOLNOŚLĄSKIE,LEONARD,MĘŻCZYZNA,28
2,DOLNOŚLĄSKIE,JERZY,MĘŻCZYZNA,28
2,DOLNOŚLĄSKIE,TOBIASZ,MĘŻCZYZNA,27
2,DOLNOŚLĄSKIE,BARTŁOMIEJ,MĘŻCZYZNA,26
2,DOLNOŚLĄSKIE,DAVID,MĘŻCZYZNA,26
2,DOLNOŚLĄSKIE,ADRIAN,MĘŻCZYZNA,25
2,DOLNOŚLĄSKIE,ERYK,MĘŻCZYZNA,24
2,DOLNOŚLĄSKIE,KONSTANTY,MĘŻCZYZNA,24
2,DOLNOŚLĄSKIE,LIAM,MĘŻCZYZNA,24
2,DOLNOŚLĄSKIE,OLIVIER,MĘŻCZYZNA,24
2,DOLNOŚLĄSKIE,OLEKSANDR,MĘŻCZYZNA,23
2,DOLNOŚLĄSKIE,JEREMI,MĘŻCZYZNA,22
2,DOLNOŚLĄSKIE,PATRYK,MĘŻCZYZNA,22
2,DOLNOŚLĄSKIE,GRZEGORZ,MĘŻCZYZNA,22
2,DOLNOŚLĄSKIE,DAMIAN,MĘŻCZYZNA,22
2,DOLNOŚLĄSKIE,ALEX,MĘŻCZYZNA,22
2,DOLNOŚLĄSKIE,IWO,MĘŻCZYZNA,20
2,DOLNOŚLĄSKIE,KRYSTIAN,MĘŻCZYZNA,20
2,DOLNOŚLĄSKIE,MATVII,MĘŻCZYZNA,20
2,DOLNOŚLĄSKIE,SEBASTIAN,MĘŻCZYZNA,20
2,DOLNOŚLĄSKIE,RADOSŁAW,MĘŻCZYZNA,19
2,DOLNOŚLĄSKIE,MARCIN,MĘŻCZYZNA,19
2,DOLNOŚLĄSKIE,KORDIAN,MĘŻCZYZNA,19
2,DOLNOŚLĄSKIE,ALEKS,MĘŻCZYZNA,19
2,DOLNOŚLĄSKIE,NATANIEL,MĘŻCZYZNA,18
2,DOLNOŚLĄSKIE,OLIVER,MĘŻCZYZNA,18
2,DOLNOŚLĄSKIE,TYMOFII,MĘŻCZYZNA,18
2,DOLNOŚLĄSKIE,REMIGIUSZ,MĘŻCZYZNA,18
2,DOLNOŚLĄSKIE,LUCJAN,MĘŻCZYZNA,18
2,DOLNOŚLĄSKIE,ALEXANDER,MĘŻCZYZNA,17
2,DOLNOŚLĄSKIE,SAMUEL,MĘŻCZYZNA,17
2,DOLNOŚLĄSKIE,FLORIAN,MĘŻCZYZNA,17
2,DOLNOŚLĄSKIE,ROBERT,MĘŻCZYZNA,17
2,DOLNOŚLĄSKIE,BŁAŻEJ,MĘŻCZYZNA,16
2,DOLNOŚLĄSKIE,ERNEST,MĘŻCZYZNA,16
2,DOLNOŚLĄSKIE,HUGO,MĘŻCZYZNA,16
2,DOLNOŚLĄSKIE,ANDRZEJ,MĘŻCZYZNA,16
2,DOLNOŚLĄSKIE,BENIAMIN,MĘŻCZYZNA,16
2,DOLNOŚLĄSKIE,PRZEMYSŁAW,MĘŻCZYZNA,15
2,DOLNOŚLĄSKIE,BOGDAN,MĘŻCZYZNA,15
2,DOLNOŚLĄSKIE,ŁUKASZ,MĘŻCZYZNA,14
2,DOLNOŚLĄSKIE,DORIAN,MĘŻCZYZNA,14
2,DOLNOŚLĄSKIE,MAKAR,MĘŻCZYZNA,14
2,DOLNOŚLĄSKIE,DAMIR,MĘŻCZYZNA,13
2,DOLNOŚLĄSKIE,MAREK,MĘŻCZYZNA,13
2,DOLNOŚLĄSKIE,GRACJAN,MĘŻCZYZNA,13
2,DOLNOŚLĄSKIE,ROMAN,MĘŻCZYZNA,13
2,DOLNOŚLĄSKIE,JULIUSZ,MĘŻCZYZNA,13
2,DOLNOŚLĄSKIE,LUDWIK,MĘŻCZYZNA,13
2,DOLNOŚLĄSKIE,MIRON,MĘŻCZYZNA,13
2,DOLNOŚLĄSKIE,VINCENT,MĘŻCZYZNA,13
2,DOLNOŚLĄSKIE,EDWARD,MĘŻCZYZNA,12
2,DOLNOŚLĄSKIE,YAROSLAV,MĘŻCZYZNA,12
2,DOLNOŚLĄSKIE,JACEK,MĘŻCZYZNA,12
2,DOLNOŚLĄSKIE,BRAJAN,MĘŻCZYZNA,11
2,DOLNOŚLĄSKIE,BOHDAN,MĘŻCZYZNA,11
2,DOLNOŚLĄSKIE,DMYTRO,MĘŻCZYZNA,11
2,DOLNOŚLĄSKIE,RAFAŁ,MĘŻCZYZNA,11
2,DOLNOŚLĄSKIE,MAURYCY,MĘŻCZYZNA,11
2,DOLNOŚLĄSKIE,DENIS,MĘŻCZYZNA,11
2,DOLNOŚLĄSKIE,NAZAR,MĘŻCZYZNA,11
2,DOLNOŚLĄSKIE,DANYLO,MĘŻCZYZNA,10
2,DOLNOŚLĄSKIE,TYTUS,MĘŻCZYZNA,10
2,DOLNOŚLĄSKIE,KOSMA,MĘŻCZYZNA,10
2,DOLNOŚLĄSKIE,SEWERYN,MĘŻCZYZNA,10
2,DOLNOŚLĄSKIE,ARON,MĘŻCZYZNA,10
2,DOLNOŚLĄSKIE,IVAN,MĘŻCZYZNA,10
2,DOLNOŚLĄSKIE,ALBERT,MĘŻCZYZNA,9
2,DOLNOŚLĄSKIE,MARTIN,MĘŻCZYZNA,9
2,DOLNOŚLĄSKIE,BERNARD,MĘŻCZYZNA,9
2,DOLNOŚLĄSKIE,LUKA,MĘŻCZYZNA,9
2,DOLNOŚLĄSKIE,CYPRIAN,MĘŻCZYZNA,9
2,DOLNOŚLĄSKIE,DANIIL,MĘŻCZYZNA,9
2,DOLNOŚLĄSKIE,DAVYD,MĘŻCZYZNA,9
2,DOLNOŚLĄSKIE,ALEKSY,MĘŻCZYZNA,9
2,DOLNOŚLĄSKIE,MYKHAILO,MĘŻCZYZNA,9
2,DOLNOŚLĄSKIE,ANDRII,MĘŻCZYZNA,9
2,DOLNOŚLĄSKIE,VLADYSLAV,MĘŻCZYZNA,9
2,DOLNOŚLĄSKIE,LEV,MĘŻCZYZNA,9
2,DOLNOŚLĄSKIE,DARIUSZ,MĘŻCZYZNA,8
2,DOLNOŚLĄSKIE,JĘDRZEJ,MĘŻCZYZNA,8
